Date,Description,Category,Amount
2024-08-20,Online Marketplace Order,Shopping,-82.63
2024-08-20,Electronics Gadget Buy,Shopping,-193.03
2024-08-21,Corner Market Groceries,Food,-107.35
2024-08-22,Clothing Boutique Purchase,Shopping,-177.3
2024-08-23,Monthly Salary,Salary,2500.0
2024-08-25,Corner Market Groceries,Food,-103.3
2024-09-02,Airport Shuttle,Transport,-5.91
2024-09-04,City Metro Trip,Transport,-11.42
2024-09-04,Taxi Ride,Transport,-34.85
2024-09-05,Monthly Rent Payment,Rent,-894.49
2024-09-05,Corner Market Groceries,Food,-10.72
2024-09-10,Online Marketplace Order,Shopping,-114.25
2024-09-10,Late-night Snacks,Food,-114.74
2024-09-11,Clothing Boutique Purchase,Shopping,-244.93
2024-09-11,Clothing Boutique Purchase,Shopping,-224.82
2024-09-11,Taxi Ride,Transport,-56.27
2024-09-15,Farmer's Market Produce,Food,-110.46
2024-09-16,Home Goods & Decor,Shopping,-50.62
2024-09-18,Farmer's Market Produce,Food,-69.91
2024-09-18,Late-night Snacks,Food,-119.39
2024-09-22,City Metro Trip,Transport,-12.67
2024-09-25,Monthly Salary,Salary,2500.0
2024-10-03,Fuel Station Fill-up,Transport,-27.15
2024-10-05,Corner Market Groceries,Food,-97.41
2024-10-05,Monthly Rent Payment,Rent,-852.27
2024-10-06,Gift for Friend,Shopping,-233.3
2024-10-09,Weekly Supermarket Run,Food,-86.62
2024-10-13,Online Marketplace Order,Shopping,-34.75
2024-10-17,Home Goods & Decor,Shopping,-159.73
2024-10-20,Weekly Supermarket Run,Food,-45.86
2024-10-21,Gift for Friend,Shopping,-212.86
2024-10-21,Fuel Station Fill-up,Transport,-3.77
2024-10-23,City Metro Trip,Transport,-36.06
2024-10-25,Monthly Salary,Salary,2500.0
2024-11-02,Corner Market Groceries,Food,-57.54
2024-11-05,Monthly Rent Payment,Rent,-804.17
2024-11-09,Corner Market Groceries,Food,-112.68
2024-11-13,Sunday Brunch Cafe,Food,-53.8
2024-11-15,Electronics Gadget Buy,Shopping,-60.85
2024-11-15,City Metro Trip,Transport,-6.87
2024-11-17,Online Marketplace Order,Shopping,-110.43
2024-11-17,City Metro Trip,Transport,-10.78
2024-11-17,Late-night Snacks,Food,-65.87
2024-11-21,Monthly Salary,Salary,2500.0
2024-11-22,Corner Market Groceries,Food,-17.06
2024-11-24,Taxi Ride,Transport,-4.29
2024-11-24,Sunday Brunch Cafe,Food,-36.1
2024-12-02,Taxi Ride,Transport,-57.73
2024-12-02,Fuel Station Fill-up,Transport,-28.31
2024-12-03,Monthly Rent Payment,Rent,-939.83
2024-12-03,Sunday Brunch Cafe,Food,-37.22
2024-12-08,Online Marketplace Order,Shopping,-212.05
2024-12-11,Clothing Boutique Purchase,Shopping,-1721.7
2024-12-12,Fuel Station Fill-up,Transport,-56.58
2024-12-12,Airport Shuttle,Transport,-12.95
2024-12-15,Home Goods & Decor,Shopping,-641.66
2024-12-17,Sunday Brunch Cafe,Food,-15.9
2024-12-18,Farmer's Market Produce,Food,-105.13
2024-12-20,Corner Market Groceries,Food,-64.35
2024-12-21,Sunday Brunch Cafe,Food,-72.45
2024-12-22,Monthly Salary,Salary,2500.0
2024-12-24,Electronics Gadget Buy,Shopping,-102.5
2024-12-25,Weekly Supermarket Run,Food,-81.77
